Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-09-21T20:47:04+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3CU2 220921C3940,Future Option,Sold 2 /ESZ2 E3CU2 09/21/22 Call 3940.00 @ 9.25,925.00,2,462.50,0.00,-1.74,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3940.0,CALL,233969826
2022-09-21T20:38:41+0200,Trade,BUY_TO_OPEN,./ESZ2 E3CU2 220921C3940,Future Option,Bought 1 /ESZ2 E3CU2 09/21/22 Call 3940.00 @ 6.0,-300.00,1,-300.00,-2.50,-0.87,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3940.0,CALL,233961397
2022-09-21T20:38:41+0200,Trade,BUY_TO_OPEN,./ESZ2 E3CU2 220921C3940,Future Option,Bought 1 /ESZ2 E3CU2 09/21/22 Call 3940.00 @ 5.75,-287.50,1,-287.50,-2.50,-0.87,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3940.0,CALL,233961397
2022-09-21T20:37:01+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3CU2 220921C3905,Future Option,Sold 3 /ESZ2 E3CU2 09/21/22 Call 3905.00 @ 13.25,"1,987.50",3,662.50,0.00,-2.61,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3905.0,CALL,233960141
2022-09-21T20:37:01+0200,Trade,BUY_TO_CLOSE,./ESZ2 E3CU2 220921C3900,Future Option,Bought 3 /ESZ2 E3CU2 09/21/22 Call 3900.00 @ 15.0,"-2,250.00",3,-750.00,0.00,-2.61,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3900.0,CALL,233960141
2022-09-21T20:29:02+0200,Trade,BUY_TO_OPEN,./ESZ2 E3CU2 220921C3905,Future Option,Bought 3 /ESZ2 E3CU2 09/21/22 Call 3905.00 @ 7.95,"-1,192.50",3,-397.50,-7.50,-2.61,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3905.0,CALL,233953944
2022-09-21T20:29:02+0200,Trade,SELL_TO_OPEN,./ESZ2 E3CU2 220921C3900,Future Option,Sold 3 /ESZ2 E3CU2 09/21/22 Call 3900.00 @ 8.8,"1,320.00",3,440.00,-7.50,-2.61,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3900.0,CALL,233953944
2022-09-21T20:05:03+0200,Trade,SELL_TO_CLOSE,./ESZ2 E4DU2 220922P3755,Future Option,Sold 1 /ESZ2 E4DU2 09/22/22 Put 3755.00 @ 12.25,612.50,1,612.50,0.00,-0.87,1,"./ESZ2 E4DU2 ",/ESZ2,9/22/22,3755.0,PUT,233934193
2022-09-21T20:03:41+0200,Trade,SELL_TO_CLOSE,./ESZ2 E4DU2 220922C4015,Future Option,Sold 1 /ESZ2 E4DU2 09/22/22 Call 4015.00 @ 3.6,180.00,1,180.00,0.00,-0.87,1,"./ESZ2 E4DU2 ",/ESZ2,9/22/22,4015.0,CALL,233932647
2022-09-21T19:42:11+0200,Trade,BUY_TO_OPEN,./ESZ2 E4DU2 220922C4015,Future Option,Bought 1 /ESZ2 E4DU2 09/22/22 Call 4015.00 @ 6.75,-337.50,1,-337.50,-2.50,-0.87,1,"./ESZ2 E4DU2 ",/ESZ2,9/22/22,4015.0,CALL,233922760
2022-09-21T19:42:11+0200,Trade,BUY_TO_OPEN,./ESZ2 E4DU2 220922P3755,Future Option,Bought 1 /ESZ2 E4DU2 09/22/22 Put 3755.00 @ 6.5,-325.00,1,-325.00,-2.50,-0.87,1,"./ESZ2 E4DU2 ",/ESZ2,9/22/22,3755.0,PUT,233922760
2022-09-21T15:35:37+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3CU2 220921P3785,Future Option,Sold 2 /ESZ2 E3CU2 09/21/22 Put 3785.00 @ 4.5,450.00,2,225.00,0.00,-1.74,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3785.0,PUT,233845110
2022-09-21T15:34:44+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3CU2 220921C3995,Future Option,Sold 2 /ESZ2 E3CU2 09/21/22 Call 3995.00 @ 3.1,310.00,2,155.00,0.00,-1.74,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3995.0,CALL,233844338
2022-09-21T15:16:42+0200,Trade,BUY_TO_OPEN,./ESZ2 E3CU2 220921C3995,Future Option,Bought 2 /ESZ2 E3CU2 09/21/22 Call 3995.00 @ 4.0,-400.00,2,-200.00,-5.00,-1.74,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3995.0,CALL,233838630
2022-09-21T15:16:42+0200,Trade,BUY_TO_OPEN,./ESZ2 E3CU2 220921P3785,Future Option,Bought 2 /ESZ2 E3CU2 09/21/22 Put 3785.00 @ 4.5,-450.00,2,-225.00,-5.00,-1.74,1,"./ESZ2 E3CU2 ",/ESZ2,9/21/22,3785.0,PUT,233838630
